code,title,type
ACCT11-100,Accounting for Decision Making,Undergraduate
ACCT12-111,Accounting Information Systems,Undergraduate
ACCT12-200,Cost Management Systems,Undergraduate
ACCT13-301,Financial Accounting and Company Reporting,Undergraduate
ACCT13-303,Advanced Financial Accounting & Reporting,Undergraduate
ACCT13-304,Managerial Planning and Control,Undergraduate
ACCT13-305,Auditing,Undergraduate
ACCT13-308,Taxation Practice for Accountants,Undergraduate
ACCT13-311,Financial Analysis and Valuation,Undergraduate
ACSC12-200,Mathematical Statistics,Undergraduate
ACSC12-201,Financial Mathematics,Undergraduate
ACSC13-300,Insurance Models,Undergraduate
ACSC13-301,Contingencies,Undergraduate
ACSC13-304,Stochastic Modelling,Undergraduate
ACSC13-305,Actuarial and Financial Models,Undergraduate
ADVT11-100,Introduction to Advertising,Undergraduate
ADVT11-140,Digital and Experiential Advertising,Undergraduate
ADVT12-200,"Advertising, Copywriting and Direct Response",Undergraduate
ADVT12-241,Understanding Audiences and Media in Advertising,Undergraduate
ADVT12-242,Creativity and Ideation in Advertising and Marketing Communication,Undergraduate
ACCT11-100,Accounting for Decision Making,Undergraduate
ACCT12-111,Accounting Information Systems,Undergraduate
ACCT12-200,Cost Management Systems,Undergraduate
ACCT13-301,Financial Accounting and Company Reporting,Undergraduate
ACCT13-303,Advanced Financial Accounting & Reporting,Undergraduate
ACCT13-304,Managerial Planning and Control,Undergraduate
ACCT13-305,Auditing,Undergraduate
ACCT13-308,Taxation Practice for Accountants,Undergraduate
ACCT13-311,Financial Analysis and Valuation,Undergraduate
ACSC12-200,Mathematical Statistics,Undergraduate
ACSC12-201,Financial Mathematics,Undergraduate
ACSC13-300,Insurance Models,Undergraduate
ACSC13-301,Contingencies,Undergraduate
ACSC13-304,Stochastic Modelling,Undergraduate
ACSC13-305,Actuarial and Financial Models,Undergraduate
ADVT11-100,Introduction to Advertising,Undergraduate
ADVT11-140,Digital and Experiential Advertising,Undergraduate
ADVT12-200,"Advertising, Copywriting and Direct Response",Undergraduate
ADVT12-241,Understanding Audiences and Media in Advertising,Undergraduate
ADVT12-242,Creativity and Ideation in Advertising and Marketing Communication,Undergraduate
ADVT13-101,"Advertising, Branding and Popular Culture",Undergraduate
ADVT13-308,Advertising Art Direction,Undergraduate
ADVT13-322,Advertising Project: Integrated Marketing and Advertising Campaigns,Undergraduate
ADVT13-350,Advertising Internship,Undergraduate
ADVT13-600,Special Topic (1) in Advertising,Undergraduate
ARCH10-123,Design Thinking Through Drawing,Undergraduate
ARCH10-124,Cities: People and Place,Undergraduate
ARCH10-126,Designing for Sustainable Futures,Undergraduate
ARCH10-127,BIM and Documentation,Undergraduate
ARCH10-137,Designing for Climate,Undergraduate
ARCH10-138,Digital Design and Prototyping,Undergraduate
ARCH10-140,Subtractive Fabrication Lab,Undergraduate
ARCH11-111,Architecture Design Studio 1,Undergraduate
ARCH11-112,Design Communication: Architectural Drawing,Undergraduate
ARCH11-113,Design Communication: NURBS Modelling,Undergraduate
ARCH11-114,World Architecture and Urbanism,Undergraduate
ARCH11-116,Architecture Study Tour,Undergraduate
ARCH11-120,Architecture Study Tour,Undergraduate
ARCH11-122,Structures and Construction Systems,Undergraduate
ARCH11-125,Materials and Methods,Undergraduate
ARCH11-132,Creative Design Studio: Material,Undergraduate
ARCH11-133,Creative Design Studio: Landscape,Undergraduate
ARCH11-135,Architecture and Urbanism of Asia Pacific,Undergraduate
ARCH11-136,Additive Fabrication Lab,Undergraduate
ARCH11-139,Digital Design and Intelligent Construction,Undergraduate
ARCH11-140,Creative Design Studio: Atmosphere,Undergraduate
ARCH11-212,Architecture Design Studio 2,Undergraduate
ARCH12-115,Design Communication: Building Information Modelling,Undergraduate
ARCH12-116,Design Communication: Parametric Modelling,Undergraduate
ARCH12-117,History & Theory: Ancient to Enlightenment,Undergraduate
ARCH12-206,Architectural Elective 1,Undergraduate
ARCH12-207,Architectural Elective 2,Undergraduate
ARCH12-213,Architecture Design Studio 3,Undergraduate
ARCH12-214,Architecture Design Studio 4,Undergraduate
ARCH13-118,Architectural Technology: Practice Methods,Undergraduate
ARCH13-119,Architectural Technology: Structural Design,Undergraduate
ARCH13-120,Philosophy of Design,Undergraduate
ARCH13-128,Design Futures Studio: Australasian Cities,Undergraduate
ARCH13-129,Design Futures Studio: Global Cities,Undergraduate
ARCH13-130,Design Futures Studio: City Lab,Undergraduate
ARCH13-131,Design Ethics and Design Detailing,Undergraduate
ARCH13-134,Urban Futures and Parametric Cities,Undergraduate
ARCH13-215,Architecture Design Studio 5,Undergraduate
ARCH13-216,Architecture Design Studio 6,Undergraduate
AUST11-100,Australian Literature,Undergraduate
AUST11-101,Australia: Dreamtime to Dust,Undergraduate
AUST11-103,Australia: Surviving Colonialism and Beyond,Undergraduate
AUST11-105,Australia: Culture and Identity,Undergraduate
AUST13-600,Special Topic - Australian Studies,Undergraduate
BCAS01-020,Academic Skills,Undergraduate
BCDP02-005,Marketing,Undergraduate
BCDP02-006,Principles of Economics,Undergraduate
BCDP02-008,Accounting for Decision Making,Undergraduate
BCDP02-009,Introduction to Communication,Undergraduate
BCDP02-010,Digital Media and Society,Undergraduate
BCDP02-011,Introduction to Public Relations,Undergraduate
BCDP02-012,Media Futures,Undergraduate
BCDP02-013,The Australian Criminal Justice System,Undergraduate
BCDP02-014,Crime and Deviance,Undergraduate
BCDP02-015,Contemporary Issues in Law and Society,Undergraduate
BCDP02-016,Forensic Victimology,Undergraduate
BCDP02-017,Media and Crime,Undergraduate
BCDP02-019,Sport Communication,Undergraduate
BCDP02-020,Sport Public Relations,Undergraduate
BCDP02-021,Sport Development,Undergraduate
BCDP02-022,Personal Finance,Undergraduate
BCDP02-024,Business Law,Undergraduate
BCDP02-027,Sustainable Development and Society,Undergraduate
BCDP02-029,Environmental and Economic Impact Assessment,Undergraduate
BCDP02-030,Principles of Urban Design,Undergraduate
BCDP02-031,Spatial Information Systems,Undergraduate
BCDP02-032,Strategic Land Use Planning,Undergraduate
BCDP02-033,Introduction to Global Citizenship,Undergraduate
BCDP02-034,Law of Commercial Entities,Undergraduate
BCDP02-036,Planning Processes,Undergraduate
BCDP02-037,Fundamentals of Finance,Undergraduate
BCDP02-038,Australian Government and Politics,Undergraduate
BCDP02-040,Digital Transformation of Business,Undergraduate
BCDP02-041,Adventure Tourism,Undergraduate
BCDP02-042,Contemporary Issues in Hospitality and Tourism Management,Undergraduate
BCDP02-043,Event Management,Undergraduate
BCDP02-045,Tourism Analysis and Evaluation,Undergraduate
BCDP02-046,International Food and Beverage Management,Undergraduate
BCDP02-047,Rooms Division Management,Undergraduate
BCDP02-048,Sustainable Tourism and Indigenous Culture,Undergraduate
BCDP02-049,WHS Risk Management,Undergraduate
BCDP02-050,Introduction to Chemistry,Undergraduate
BCDP02-051,Cell Biology,Undergraduate
BCDP02-052,Chemistry for Living Systems,Undergraduate
BCDP02-053,Principles of Human Structure and Function,Undergraduate
BCDP02-054,Elementary Maths,Undergraduate
BCDP02-055,Economic and Social Foundations of Planning,Undergraduate
BCDP02-056,Transforming Places,Undergraduate
BCDP02-057,"Food, Nutrition and Health",Undergraduate
BCDP02-058,Land Economy and the Environment,Undergraduate
BCDP02-059,Managing Projects,Undergraduate
BCDP02-060,Marine and Coastal Environments,Undergraduate
BCDP02-061,Real Estate Property Rights,Undergraduate
BCDP02-062,Understanding Buildings 1,Undergraduate
BCDP02-063,Australia's Health Issues and Priorities,Undergraduate
BCDP02-064,"Sport Organisation, Governance and Policy",Undergraduate
BCDP02-065,Principles of Property Valuation,Undergraduate
BCDP02-066,Foundations of Exercise and Sport Science,Undergraduate
BCDP02-067,Human Organ Systems 1,Undergraduate
BCDP02-068,Introduction to Structures,Undergraduate
BCDP02-069,World Languages,Undergraduate
BCDP02-070,Introduction to International Relations,Undergraduate
BCDP02-071,Foundations of Content Creation,Undergraduate
BCDP02-101,Critical Thinking and Communication,Undergraduate
BCDP02-102,Leadership and Team Dynamics,Undergraduate
BCDP02-103,Ethical Thought and Action,Undergraduate
BCDP02-105,Legal Foundations A,Undergraduate
BCDP02-106,Legal Foundations B,Undergraduate
BMED11-101,Introduction to Chemistry,Undergraduate
BMED11-109,Principles of Human Structure and Function,Undergraduate
BMED11-110,Human Organ Systems 1,Undergraduate
BMED11-112,Human Control Systems,Undergraduate
BMED11-114,Chemistry for Living Systems,Undergraduate
BMED11-203,Cell Biology,Undergraduate
BMED11-205,Medical Biochemistry 1,Undergraduate
BMED11-206,Microbiology,Undergraduate
BMED11-207,Medical and Molecular Genetics,Undergraduate
BMED12-114,Human Organ Systems 2,Undergraduate
BMED12-118,Laboratory Medicine,Undergraduate
BMED12-119,Biological and Physical Chemistry,Undergraduate
BMED12-120,Pathophysiology and Pharmacology,Undergraduate
BMED12-123,Global Health Issues,Undergraduate
BMED12-209,Medical Biochemistry 2,Undergraduate
BMED13-123,Advanced Bioscience Lab,Undergraduate
BMED13-125,Exploring Human Disease,Undergraduate
BMED13-126,Research Project A,Undergraduate
BMED13-127,Research Project B,Undergraduate
BMED13-214,Molecular Diagnostics,Undergraduate
BMED13-216,Immunology,Undergraduate
BMED13-600,Special Topic in Biomedical Science,Undergraduate
BUSA13-100,Bond University USA Internship Program,Undergraduate
BUSN11-200,Foundations of Enterprise,Undergraduate
BUSN13-300,Silicon Valley Study Tour,Undergraduate
BUSN13-331,Business Model Generation,Undergraduate
BUSN13-332,Business Model Execution,Undergraduate
BUSN13-620,Individual Study in Business,Undergraduate
BUSN13-700,Business Internship,Undergraduate
BUSN13-730,Business School International Semester,Undergraduate
BUWI13-701,Bond University Washington Internship Program,Undergraduate
BVMT11-102,Autism Spectrum Disorders: Theories to Evidence-Based Educational Practice,Undergraduate
BVMT11-103,Abnormality and Illness,Undergraduate
BVMT11-109,The Influence of Biology on Human Behaviour,Undergraduate
BVMT12-123,Assessment and Diagnosis,Undergraduate
BVMT13-153,Interventions with People Experiencing Difficulties,Undergraduate
BVMT13-155,"Policy, Case Management and Independent Living",Undergraduate
BVMT13-600,Research Project in Behaviour Management,Undergraduate
BVMT13-700,Practicum 1 - Behaviour Management,Undergraduate
CHNL11-100,Chinese Language 1,Undergraduate
CHNL11-101,Chinese Language and Culture,Undergraduate
CHNL11-110,Chinese Language 2,Undergraduate
CHNL11-111,Chinese in Business and Media,Undergraduate
CHNL12-209,Chinese Language 3,Undergraduate
CHNL12-210,Chinese Language 4,Undergraduate
CHNL12-211,Chinese Language 5,Undergraduate
CHNL13-310,Chinese Language 6,Undergraduate
COLB11-100,Global Citizenship,Undergraduate
COLB12-100,Immersion 1: Work-Based Experience,Undergraduate
COLB12-110,"Trust, Privacy, Law and Ethics in the Digital Age",Undergraduate
COLB12-120,"Design: Process, Methods and Mindsets",Undergraduate
COLB12-200,Global Challenges 1,Undergraduate
COLB12-400,Design Studio,Undergraduate
COLB13-110,Immersion 2: Work Placement,Undergraduate
COLB13-200,Global Challenges 2,Undergraduate
COMN11-100,Foundations of Content Creation,Undergraduate
COMN11-101,Introduction to Communication,Undergraduate
COMN11-102,Strategic Speaking and Writing,Undergraduate
COMN11-103,Communication in the Workplace,Undergraduate
COMN11-190,Gender Communication,Undergraduate
COMN12-203,Mass and Popular Media,Undergraduate
COMN12-204,Intercultural Communication,Undergraduate
COMN12-205,Interpersonal Communication,Undergraduate
COMN12-213,Introduction to Research Methods,Undergraduate
COMN12-302,Digital Media and Society,Undergraduate
COMN13-300,Capstone Project,Undergraduate
COMN13-310,Conflict Communication,Undergraduate
COMN13-311,Computer Game Industry and Policy,Undergraduate
COMN13-325,Persuasion and Influence,Undergraduate
COMN13-700,Internship,Undergraduate
CORE11-001,Critical Thinking and Communication,Undergraduate
CORE11-002,Leadership and Team Dynamics,Undergraduate
CORE11-003,Ethical Thought and Action,Undergraduate
COUN13-102,Understanding and Changing Human Behaviour,Undergraduate
COUN13-103,Counselling Interventions for Specific Groups and Populations,Undergraduate
COUN13-109,"Professional Practice Issues in Counselling, Psychology, and Criminology",Undergraduate
COUN13-301,Foundations of Counselling,Undergraduate
COUN13-600,Research Project in Counselling,Undergraduate
COUN13-700,Practicum 1 - Counselling,Undergraduate
CRIM11-100,Crime and Deviance in Australia,Undergraduate
CRIM11-110,Criminological Research Methods,Undergraduate
CRIM11-114,Media and Crime,Undergraduate
CRIM11-115,Cybercrime,Undergraduate
CRIM12-204,The Australian Criminal Justice System,Undergraduate
CRIM12-205,"Alcohol, Drugs and Crime",Undergraduate
CRIM12-207,Criminal Motivations,Undergraduate
CRIM12-208,Crime Prevention,Undergraduate
CRIM12-209,Theories of Crime,Undergraduate
CRIM12-210,Forensic Victimology,Undergraduate
CRIM12-250,Introduction to Criminal Investigations,Undergraduate
CRIM13-306,Criminal Profiling,Undergraduate
CRIM13-311,Applied Crime Analysis,Undergraduate
CRIM13-315,Miscarriages of Justice,Undergraduate
CRIM13-600,Special Study in Criminology 1,Undergraduate
CRIM13-700,Criminology Internship,Undergraduate
DIGM11-100,Graphic Design and Content Creation,Undergraduate
DIGM11-101,Graphic Design,Undergraduate
DIGM11-200,Digital Design and Communication,Undergraduate
DIGM12-100,Game Thinking,Undergraduate
DIGM12-200,Animation and Prototyping,Undergraduate
DIGM12-201,Modelling for Animation,Undergraduate
DIGM13-100,Designing User Experiences,Undergraduate
DIGM13-200,Creating Virtual and Augmented Realities,Undergraduate
DIXN11-100,Digital Transformation: Stages and Capabilities,Undergraduate
DIXN11-200,Building Digital Literacy and Fluency,Undergraduate
DIXN11-300,Aligning Digital Capacity and Culture,Undergraduate
DTSC11-100,Business Analytics Coding,Undergraduate
DTSC12-200,Data Science,Undergraduate
DTSC13-300,Big Data Infrastructure,Undergraduate
DTSC13-301,Machine Learning in Business,Undergraduate
DTSC13-302,Statistical Learning and Regression Models,Undergraduate
DTSC13-303,Big Data Analytics Case Studies,Undergraduate
DTSC13-304,Advanced Big Data Projects,Undergraduate
DTSC13-305,Financial Trading Systems,Undergraduate
DTSC13-306,Advanced Machine Learning in Business,Undergraduate
DTSC13-307,Advanced Statistical Learning Models,Undergraduate
DTSC13-308,Emerging Issues in Health Analytics,Undergraduate
ECON11-100,Principles of Economics,Undergraduate
ECON12-200,Econometrics,Undergraduate
ECON12-201,Markets and Corporate Behaviour,Undergraduate
ECON12-202,Contemporary Macroeconomics Issues,Undergraduate
ECON13-300,Advanced Econometrics,Undergraduate
ECON13-301,Game Theory and Strategic Decision Making,Undergraduate
ECON13-302,Business Conditions Analysis,Undergraduate
ECON13-303,International Trade,Undergraduate
ECON13-305,Money and Monetary Policy,Undergraduate
ENFB11-131,Entrepreneurship,Undergraduate
ENFB13-300,Entrepreneurial Growth,Undergraduate
ENFB13-302,Creativity and Innovation,Undergraduate
ENFB13-304,New Venture Planning,Undergraduate
ENFB13-305,Entrepreneurial Finance,Undergraduate
ENFB13-306,Bond Business Accelerator,Undergraduate
ENGL12-106,Contemporary Western Literature and the Bible,Undergraduate
FINC12-200,Fundamentals of Finance,Undergraduate
FINC12-201,Financial Applications and Quantitative Analysis,Undergraduate
FINC13-301,Corporate Finance,Undergraduate
FINC13-303,Portfolio Analysis and Investment Management,Undergraduate
FINC13-304,Financial Markets and Institutions,Undergraduate
FINC13-305,Options and Futures,Undergraduate
FINC13-307,International Finance,Undergraduate
FINC13-308,Personal Finance,Undergraduate
FITV11-100,Short Screen Project and Industry Protocol,Undergraduate
FITV11-102,Designing Cinema: Architecture and Production Design in Film,Undergraduate
FITV11-103,Acting for Performance,Undergraduate
FITV11-104,Visual Effects and Post-Production Workflows,Undergraduate
FITV11-107,Sound Production and Design,Undergraduate
FITV11-110,Screenwriting Short Fiction,Undergraduate
FITV11-120,"Image, Photography and Visual Design",Undergraduate
FITV11-130,Screen Style and Storytelling,Undergraduate
FITV11-140,Live Television Broadcasting,Undergraduate
FITV11-150,Screen Business - Producing Screen Content,Undergraduate
FITV12-201,Directing Actors,Undergraduate
FITV12-202,Cinematography Style and Design,Undergraduate
FITV12-203,Screen Editing,Undergraduate
FITV12-208,Television Commercials and Music Videos,Undergraduate
FITV12-210,Advanced Screenwriting,Undergraduate
FITV12-211,"Sex, Love and the Movies",Undergraduate
FITV12-220,Screen Production 2,Undergraduate
FITV12-242,Sports Broadcasting,Undergraduate
FITV12-250,Advanced Screen Business (Project Development),Undergraduate
FITV12-252,Factual and Documentary Production,Undergraduate
FITV13-100,Advanced Screen Editing,Undergraduate
FITV13-205,Advanced Cinematography and Colour Grading,Undergraduate
FITV13-212,Advanced Screen Directing and Showrunning,Undergraduate
FITV13-300,Graduation Screen Project,Undergraduate
FITV13-700,Film and Television Internship (1),Undergraduate
FRNL11-100,French Language 1,Undergraduate
FRNL11-101,French Language and Culture,Undergraduate
FRNL11-110,French Language 2,Undergraduate
FRNL11-111,French in Business and Media,Undergraduate
FRNL12-111,French Language 3,Undergraduate
FRNL12-210,French Language 4,Undergraduate
FRNL13-300,French Language 5,Undergraduate
FRNL13-310,French Language 6,Undergraduate
FRNL13-600,Special Topic in French Language,Undergraduate
FSDO13-700,Internship A,Undergraduate
GAME11-110,Game Design and Logic,Undergraduate
GAME12-200,"Videogame Players, Industry and Culture",Undergraduate
GAME12-300,Videogames as Creative Media,Undergraduate
GAME12-315,Interactive Experience,Undergraduate
GAME13-101,Mobile Game Design,Undergraduate
GAME13-374,Designing for Emerging Technology,Undergraduate
GAME13-400,Industry Internship,Undergraduate
GLBE11-100,Climate Change and the Future World,Undergraduate
HLSC13-620,Special Topic in Health Sciences,Undergraduate
HPER11-101,Australia's Health Issues and Priorities,Undergraduate
HPER11-103,Health Systems,Undergraduate
HPER12-101,Health Research Methods,Undergraduate
HPER12-103,Health Communication,Undergraduate
HPER13-100,Evidence in Healthcare: Practice and Policy,Undergraduate
HPER13-101,Drivers for Healthcare Change,Undergraduate
HRTM11-100,Wine Studies,Undergraduate
HRTM12-200,Hotel and Tourism Strategic Management,Undergraduate
HRTM12-201,International Food and Beverage Management,Undergraduate
HRTM12-203,Rooms Division Management,Undergraduate
HRTM12-204,Contemporary Issues in Hospitality and Tourism Management,Undergraduate
HRTM12-205,Strategic Pricing and Revenue Management,Undergraduate
HRTM12-206,Tourism Analysis and Evaluation,Undergraduate
HRTM12-209,Event Management,Undergraduate
HRTM12-212,WHS Risk Management,Undergraduate
HRTM12-214,Adventure Tourism,Undergraduate
HRTM12-220,Sustainable Tourism and Indigenous Culture,Undergraduate
HRTM12-310,Tourism Research Methods,Undergraduate
IBUS11-310,Doing Business Globally,Undergraduate
IBUS12-250,International Business,Undergraduate
IBUS12-251,Concepts of Strategy,Undergraduate
IBUS13-313,Europe Study Tour,Undergraduate
INFT11-120,Digital Transformation of Business,Undergraduate
INFT12-216,Data Science,Undergraduate
INFT12-223,Machine Learning in Business,Undergraduate
INFT13-326,Statistical Learning and Regression Models,Undergraduate
INFT13-327,Advanced Big Data Projects and Case Study,Undergraduate
INFT13-361,Financial Trading Systems,Undergraduate
INTR11-100,Introduction to International Relations,Undergraduate
INTR11-101,Geopolitics,Undergraduate
INTR11-102,"Hacking, Networks and Security",Undergraduate
INTR12-200,Australian Public and Foreign Policy,Undergraduate
INTR12-201,Strategic India,Undergraduate
INTR12-203,The United Nations,Undergraduate
INTR12-206,Global Institutions and Conflict Resolution,Undergraduate
INTR12-208,Public Diplomacy and Social Media,Undergraduate
INTR12-210,East-West International Diplomacy,Undergraduate
INTR12-213,Global Development: Theory and Practice,Undergraduate
INTR12-214,Political Economy,Undergraduate
INTR12-215,Peace and War,Undergraduate
INTR12-216,The Americas,Undergraduate
INTR12-221,Latin America in the International System,Undergraduate
INTR12-230,Terrorism,Undergraduate
INTR13-300,International Model United Nations and Study Tour,Undergraduate
INTR13-301,Strategic China,Undergraduate
INTR13-303,China's Defence and Security,Undergraduate
INTR13-304,Eurasia,Undergraduate
INTR13-305,Australia and the Asia-Pacific,Undergraduate
INTR13-306,Prospects for Global Politics,Undergraduate
INTR13-309,Diplomacy: Theory and Practice,Undergraduate
INTR13-310,Alternative Globalisations,Undergraduate
INTR13-313,Contemporary Globalisations,Undergraduate
INTR13-314,The New Europe,Undergraduate
INTR13-315,Africa and the Middle East,Undergraduate
INTR13-316,Asia's Rising Powers,Undergraduate
INTR13-700,International Relations Practicum,Undergraduate
JOUR11-100,Newsroom: Introduction to Journalism,Undergraduate
JOUR11-101,Media Futures,Undergraduate
JOUR11-110,Creative Writing: Plot and Genre,Undergraduate
JOUR11-111,Creative Writing Project,Undergraduate
JOUR11-112,Creative Writing Project 2,Undergraduate
JOUR12-100,Podcasting and Audio Narratives,Undergraduate
JOUR12-180,Investigative and Solutions Journalism,Undergraduate
JOUR12-230,Ethical and Legal Strategies for Communication,Undergraduate
JOUR12-240,Digital Publishing and Design,Undergraduate
JOUR13-300,Creative Writing: Fiction and Non-Fiction,Undergraduate
JOUR13-315,Video Journalism,Undergraduate
JOUR13-318,Freelance Feature Writing and Blogging,Undergraduate
JOUR13-320,Mobile and Digital Journalism,Undergraduate
JOUR13-600,Journalism Project,Undergraduate
JOUR13-700,Journalism Internship,Undergraduate
JPNL11-100,Japanese 1,Undergraduate
JPNL11-101,Japanese Language and Culture,Undergraduate
JPNL11-110,Japanese 2,Undergraduate
JPNL11-111,Japanese Business and Media,Undergraduate
JPNL12-200,Japanese 3,Undergraduate
JPNL12-210,Japanese 4,Undergraduate
JPNL13-300,Japanese 5,Undergraduate
JPNL13-310,Japanese 6,Undergraduate
LAWS10-100,Business Law,Undergraduate
LAWS10-101,Law of Commercial Entities,Undergraduate
LAWS10-102,Foundations of United States Law,Undergraduate
LAWS10-210,Enterprise Law,Undergraduate
LAWS11-105,Legal Foundations A,Undergraduate
LAWS11-106,Legal Foundations B,Undergraduate
LAWS11-107,Foundations of Private Law,Undergraduate
LAWS11-108,Foundations of Public and Criminal Law,Undergraduate
LAWS11-110,Australian Legal System,Undergraduate
LAWS11-111,Legal Skills,Undergraduate
LAWS11-201,Contract Law A,Undergraduate
LAWS11-202,Tort Law,Undergraduate
LAWS11-203,Criminal Law,Undergraduate
LAWS11-204,Property Law A,Undergraduate
LAWS11-210,Law of Civil Remedies,Undergraduate
LAWS11-211,Principles of Tortious Liability,Undergraduate
LAWS11-212,Principles of Contractual Liability,Undergraduate
LAWS11-213,Law of Obligations,Undergraduate
LAWS11-214,Criminal Law and Procedure A,Undergraduate
LAWS11-215,Criminal Law and Procedure B,Undergraduate
LAWS11-216,Constitutional Law,Undergraduate
LAWS11-217,Contract Law B,Undergraduate
LAWS11-218,Property Law B,Undergraduate
LAWS11-310,Corporate Law,Undergraduate
LAWS11-311,Property Law,Undergraduate
LAWS11-312,Land Law,Undergraduate
LAWS11-313,Equity,Undergraduate
LAWS11-314,Personal Property Transactions,Undergraduate
LAWS11-315,Business Associations,Undergraduate
LAWS11-316,Corporations Law,Undergraduate
LAWS11-317,Administrative Law,Undergraduate
LAWS11-318,Evidence,Undergraduate
LAWS11-319,Civil Procedure,Undergraduate
LAWS11-320,Legal Ethics and Professional Conduct,Undergraduate
LAWS11-321,Bookkeeping and Trust Accounts,Undergraduate
LAWS11-325,Civil Dispute Resolution,Undergraduate
LAWS11-326,Legal Profession,Undergraduate
LAWS13-102,Foundations of United States Law,Undergraduate
LAWS13-111,Malaysian Law and Practice,Undergraduate
LAWS13-115,Contemporary Issues in Law and Society,Undergraduate
LAWS13-117,Insolvency Law and Practice,Undergraduate
LAWS13-120,Law and Investment in China,Undergraduate
LAWS13-455,Trial Advocacy,Undergraduate
LAWS13-498,Taxation of International Business,Undergraduate
LAWS13-511,The Global Lawyer,Undergraduate
LAWS13-514,Australian Government and Politics,Undergraduate
LAWS13-515,Clinical Legal Placement,Undergraduate
LAWS13-516,Electronic Commerce Law,Undergraduate
LAWS13-517,Equitable Remedies,Undergraduate
LAWS13-518,Family Law,Undergraduate
LAWS13-522,Industrial Property Law,Undergraduate
LAWS13-525,Law and Medicine,Undergraduate
LAWS13-526,Law in the People's Republic of China,Undergraduate
