AMB120,Bridging Cultures
IFN515,Fundamentals of Business Process Management
IFN600,Understanding Research
IFN641,Advanced Network Management
IFN642,Applied Cryptography and Network Security
IFN643,Computer System Security
IFN645,Data Mining Technology and Applications
IFN647,Advanced Information Storage and Retrieval
IFN650,Business Process Analytics
IFN651,Lean Six Sigma
IFN652,Enterprise Business Process Management
IFN660,Programming Language Theory
IFN661,Mobile and Pervasive Systems
IFN662,Enterprise Systems and Applications
IFN663,Advanced Enterprise Architecture
IFN665,Advanced Topic 1
IFN680,Advanced Topics in Artificial Intelligence
IFN680,Advanced Topics in Artificial Intelligence
IFN690,Advanced User Centred Design
IFN691,Gamification and Persuasive Computing
IFN700,Project Management
IGB100,Game Studio 1: Mini-Game Development
IGB180,Computer Games Studies
IGB181,Game Production and Technology
IGB200,Game Studio 2: Applied Game Development
IGB220,Fundamentals of Game Design
IGB283,Game Engine Theory and Application
IGB321,Immersive Game Level Design
IGB381,Game Engine Technology
IGB383,AI for Games
JSB158,Policing Diversity
JSB170,Introduction to Criminology and Policing
JSB171,Justice and Society
JSB172,Professional Academic Skills
JSB173,Understanding the Criminal Justice System
JSB174,Forensic Psychology and the Law
JSB176,Criminal Law in Context
JSB178,"Policy, Governance and Justice"
JSB179,Crimes of Violence
JSB180,Deviance
JSB184,Sex and Crimes
JSB207,Punishment and Penal Policy
JSB208,"Gender, Crime, and the Criminal Justice System"
JSB209,Transnational Organised Crime and Terrorism
JSB219,Case Studies in Major Crime
JSB224,Understanding Trauma in Criminology
JSB227,The History of Criminal Prosecution
JSB228,Technology and Crime
JSB255,Eco Crime
JSB261,Theories of Government
JSB263,Australian Political Institutions
JSB264,Statistical Methods for Justice Professionals
JSB266,White Collar Crime and Official Corruption
JSB267,"Identity, Marginalisation, and Global Change"
JSB270,Global Justice and Human Security
JSB272,Theories of Crime
JSB273,Justice Research Methods
JSB278,Drugs and Crime
JSB284,Policing in Context
JSB285,Political Violence and Terrorism
JSB286,Domestic Violence
JSB287,Crime in Popular Culture
JSB289,Preventing Gendered Violence
JSB290,Victimology
JSB364,Cybercrime
JSB367,Intelligence and Security
JSB372,Youth Justice
JSB374,Crime Prevention
JSB379,"Political Practice, People Power, and Protest"
JSB380,Critical Policy Analysis
JSB386,Death Investigation
KCB105,Inquiry in Media and Communication
KCB203,Consumption Matters: Consumer Cultures and Identity
KCB205,Professional Communication
KCB206,"Social Media, Self and Society"
KCB302,Political Communication
KCB303,Brisbane Media Map 1
KCB305,Brisbane Media Map 2
KCB307,Making Media Connections 1
KCB308,Making Media Connections 2
KDB101,Dance Performance 1: Analysing Dances
KDB102,Dance Performance 2: Dance Histories
KDB103,Dance Technique 1
KDB104,Dance Technique 2
KDB107,Foundations in Improvisation and Choreographic Practice
KDB112,Dance Technique Fundamentals
KDB113,Dance Studies
KDB122,Popular Dance Styles
KDB123,Dance Legacies
KDB206,Dance in Contemporary Culture
KDB210,Dance Composition
KDB211,Dance Performance 3: Current Trends
KDB212,Dance Performance 4: Intersections
KDB213,Dance Technique 3
KDB214,Dance Technique 4
KDB216,Choreographic Practice 1
KDB217,Choreographic Practice 2
KDB218,Performance in Context 1
KDB222,World Dance
KDB316,Choreographic Project 1
KDB317,Choreographic Project 2
KDB318,Performance in Context 2
KDB320,Independent Dance Project
KJB222,Online Journalism 1
KJB224,Feature Writing
KJB235,Radio and Television Journalism 1
KJB239,Journalism Ethics and Issues
KJB280,International Journalism
KJB304,Sub-Editing
KJB323,Online Journalism 2
KJB336,Radio and Television Journalism 2
KJB337,Investigative Reporting
KKB190,Yatdjuligin - Cultural Safety in Indigenous Australian Context
KKB191,Am I black enough? Indigenous Australian Representations
KKB192,Smash the Act - Indigenous Australian Politics
KKB193,Indigenous Knowledge: Research Ethics and Protocols
KMB109,Creative Practice in Music
KMB118,Musicianship 1
KMB119,Music Production 1
KMB128,Musicianship 2
KMB129,Music Production 2
KMB215,The Music Industry
KMB217,Music Creation 1
KMB218,Musicianship 3
KMB222,Music and Culture
KMB223,Music and Media
KMB227,Music Creation 2
KMB228,Musicianship 4
KNB125,Animation History and Context
KNB126,Motion Design
KNB127,CGI Foundations
KNB135,Animation Aesthetics
KNB136,Visual Storytelling: Production Design
KNB137,Digital Worlds
KNB215,Animation Performance
KNB216,Visual Storytelling: Cinematic Pre-Visualisation
KNB217,Digital Creatures
KNB226,Visual Storytelling: Animation Pre-Production
KNB227,CGI Technologies
KNB310,Advanced Animation Production 1
KNB320,Advanced Animation Production 2
KPB101,Introduction to Screen Production
KPB113,Screen Text Analysis
KPB116,Introduction to Screenwriting
KPB117,Screen Crafts: Non-Fiction
KPB120,Contemporary Screen Histories
KPB121,Screen Business
KPB122,Screen Crafts: Narratives
KPB208,Screen Genres
KPB215,Advanced Screenwriting
KPB216,Screen Content Production Management
KPB217,Screen Crafts: Experiments
KPB220,Factual Screens
KPB221,Screen Project Development
KPB222,Screen Crafts: Multi-Camera and Single-Camera Production
KPB315,Global Screen Studies
KPB325,Screen Issues
KRB120,Scenography 1: Introducing Performance Design
KRB121,Scenography 2: Creating Worlds for Theatre
KRB220,Scenography 3: Into the 21st Century
KRB221,Scenography 4: Intermedial Theatre
KTB110,Plays that Changed the World
KTB111,The Authentic Performer
KTB120,Diverse Theatre Practice
KTB121,The Responsive Performer
KTB126,Drama Practice 1: Collaboration
KTB216,Drama Practice 2: Interpretation
KTB217,Story and Performance
KTB225,Radical Theatre Forms
KTB226,Drama Practice 3: Transformation
KTB227,Leadership in Creative Contexts
KTB316,Drama Practice 4: Generation
KTB326,Drama Practice 5: Realisation
KVB102,Modernism in Art
KVB104,Photo Media and Art Practice
KVB110,2D Art: Material and Processes
KVB113,Australian Art and Identity
KVB117,Visual Arts Open Studio 1
KVB127,Visual Arts Open Studio 2
KVB210,Time-Based Art: Moving Images
KVB216,Post 1945 Art
KVB217,Visual Arts Open Studio 3
KVB222,Spatial Art: Object and Site
KVB223,Post 1989 Art
KVB227,Visual Arts Open Studio 4
KVB317,Visual Arts Open Studio 5
KVB327,Visual Arts Open Studio 6
KWB104,Writing the Short Story
KWB113,Introduction to Creative Writing
KWB116,Creative Non-Fiction
KWB117,Australian Voices: Writing and Practice
KWB118,Swords and Spaceships: Writing Genre
KWB208,Modern Times (Literature and Culture in the 20th Century)
KWB209,"Shakespeare, Then and Now"
KWB211,Creative Writing: Style and Technique
KWB212,Poetry and Poetics
KWB213,Corporate Writing and Editing
KWB214,The Artful Life: From Memoir to Fiction
KWB215,Dangerous Ideas: Contemporary Debates in Writing
KWB217,Editing and Publishing
KWB303,Writing and Publishing Industry
KWB306,Creative Writing Project 1
KWB308,Wonderlands: Literature and Culture in the 19th Century
KWB310,Editing and Developing the Manuscript
KWB326,Creative Writing Project 2
KXB201,Entertainment Practice: Balancing Creativity and Business
KXB202,Project Management for Entertainment
KXB301,Entertainment Industries Studio
KYB101,Understanding Creative Practice
KYB102,Pathways to a Creative Career
KYB103,The Creative Body
KYB201,Socially Engaged Arts Practice
LCN624,Leading and Managing People
LCN629,"Inclusive Education: Theory, Policy and Practice"
LLB101,Introduction to Law
LLB103,Dispute Resolution
LLB104,Contemporary Law and Justice
LLB140,Human Rights Law
LLB141,Introduction to International Law
LLB142,Regulation of Business
LLB247,Animal Law
LQB180,Foundations of Biochemistry
LQB181,Introduction to Medical Laboratory Science
LQB182,Cell and Molecular Biology
LQB183,Human Systematic Anatomy
LQB184,Biomedical Skills 1
LQB281,Human Health & Disease Concepts
LQB286,Biomedical Skills 2
LQB301,Medical Microbiology and Infection Control
LQB362,Principles and Practice of Infectious Diseases
LQB381,Biochemistry
LQB382,Developmental Anatomy and Tissue Adaptation
LQB385,Molecular Biology and Bioinformatics
LQB387,Principles of Immunology
LQB388,Medical Physiology 1
LQB389,Regional and Sectional Anatomy for Radiation Therapy
LQB390,Regional and Sectional Anatomy for Medical Imaging
LQB450,Foundations of Pharmacology
LQB462,Microbial Diagnostics
LQB481,Biochemical Pathways and Metabolism
LQB482,Anatomical Imaging
LQB485,Cell Biology
LQB488,Medical Physiology 2
LQB490,Cytogenetic and Molecular Pathology
LQB494,Pathogen Biology and Pathogenesis
LQB508,Clinical Physiology and Pathophysiology
LQB562,Advanced Microbial Diagnostics
LQB570,Forensic Anatomy
LQB571,Neuroscience
LQB581,Biomolecular Control Systems
LQB582,Biomedical Research Technologies
LQB583,Molecular Systems Biology
LQB594,Pathogen Diagnosis and Therapeutics
LQB595,Cellular Engineering
LQB600,Physiological Basis of Pharmacology
LQB601,Cancer Biology
LQB608,Extreme Physiology
LQB671,Histological Research Techniques
LQB681,Biomolecular Research Skills
LQB682,Biomolecular Design
LQB683,Diagnostic Cytopathology
LQB684,Advances in Medical Biotechnology
LQB693,Immunological Approaches for Infection and Immunity
LQB694,Infectious Disease Outbreaks
LQB882,Projects in Clinical Pathology
LQB883,Intercultural Health in Clinical Practice
LSB111,Understanding Disease Concepts
LSB131,Anatomy
LSB142,Human Anatomy and Physiology
LSB231,Physiology
LSB235,Anatomy of the Lower Limb
LSB250,Human Physiology
LSB255,Foundations of Anatomy and Histology
LSB258,Principles of Human Physiology
LSB365,Pathology
LSB425,Quality and Analysis in Clinical Pathology
LSB466,Histological Techniques
LSB492,Microbiology
LSB525,Chemical Pathology
LSB555,Principles and Practice of Clinical Haematology
LSB566,Histopathology
LSB625,Diagnostic Endocrinology
LSB655,Applied Clinical Haematology
LSB658,Clinical Physiology
LSB665,Transfusion and Transplantation Science
LWS009,Introduction to Law
MAB141,Mathematics and Statistics for Medical Science
MGB200,Managing People
MGB210,Managing Operations
MGB214,Introducing People Management and Analytics
MGB225,Intercultural Communication and Negotiation Skills
MGB226,"Innovation, Knowledge and Creativity"
MGB227,Entrepreneurship
MGB229,Obligations and Options for Employing People
MGB230,Recruiting and Selecting People
MGB310,Managing Sustainable Change
MGB324,Managing Business Growth
MGB331,Developing People
MGB335,Managing Projects
MGB338,Workplace Learning
MGB339,Managing Performance and Rewards
MGB340,International Business in the Asia-Pacific
MGB341,Managing Risk
MGN409,Management Theory and Practice
MGN410,Employment Relations
MGN412,Organisational Behaviour
MGN423,Contemporary Strategic Analysis
MGN428,Creating New Ventures
MGN431,Strategic Human Resource Development
MGN433,Managing High-Performance Organisations
MGN440,HRM Theory and Practice
MGN441,Coaching for Leadership Development
MGN442,Self Leadership
MGN443,Talent Management
MGN444,Business in Asia
MGN445,Business in Europe
MGN446,Business in Australia
MGN447,Managing in a Globalised Economy
MGN448,Negotiating Across Borders
MGN505,Consulting and Change Management
MGN506,Contemporary Issues in Human Resource Management
MGN534,Contemporary Issues in Entrepreneurship
MXB100,Introductory Calculus and Algebra
MXB101,Probability and Stochastic Modelling 1
MXB102,Abstract Mathematical Reasoning
MXB103,Introductory Computational Mathematics
MXB105,Calculus and Differential Equations
MXB106,Linear Algebra
MXB107,Introduction to Statistical Modelling
MXB161,Computational Explorations
MXB201,Advanced Linear Algebra
MXB202,Advanced Calculus
MXB225,Modelling with Differential Equations 1
MXB226,Computational Methods 1
MXB232,Introduction to Operations Research
MXB241,Probability and Stochastic Modelling 2
MXB242,Regression and Design
MXB261,Modelling and Simulation Science
MXB262,Visualising Data
MXB321,Applied Transport Theory
MXB322,Partial Differential Equations
MXB323,Dynamical Systems
MXB324,Computational Fluid Dynamics
MXB325,Modelling with Differential Equations 2
MXB326,Computational Methods 2
MXB328,Work Integrated Learning in Applied and Computational Mathematics
MXB332,Optimisation Modelling
MXB334,Operations Research for Stochastic Processes
MXB335,Advanced Optimisation Modelling
MXB338,Work Integrated Learning in Operations Research
MXB341,Statistical Inference
MXB342,Statistical Techniques
MXB343,Modelling Dependent Data
MXB344,Generalised Linear Models
MXB348,Work Integrated Learning in Statistics
MXB361,Aspects of Computational Science
MXB362,Advanced Visualisation and Data Science
MZB101,Modelling with Introductory Calculus
MZB125,Introductory Engineering Mathematics
MZB126,Engineering Computation
MZB151,Mathematical Tools for Computing
NSB102,Professional Practice and Cultural Safety
NSB132,Integrated Nursing Practice 1 On Campus
NSB202,Aboriginal and Torres Strait Islander Peoples' Well-being
NSB203,Inquiry in Clinical Practice
NSB204,Mental Health: Self and others
NSB231,Integrated Nursing Practice 2 On Campus
NSB232,Integrated Nursing Practice 2 Off Campus
NSB233,Integrated Nursing Practice 3 Off Campus
NSB236,Integrated Nursing Practice 3 On Campus
NSB412,Clinical Elective
NSB603,Introduction to Cardiothoracic Nursing
OPB650,Diseases of the Eye 6
OPB656,Assessment of Vision 6
OPN161,Optometry in Special Needs Groups
OPN162,Contact Lens Practice
OPN163,Primary Care Clinic 7
OPN164,Research Methods in Optometry and Vision Science
OPN262,Specialist Clinic 8
OPN263,Primary Care Clinic 8
PCB150,Biomedical Physics
PCB240,Optics 1
PCB272,Radiation Physics
PCB675,Radiation Safety and Biology
PCN112,Medical Imaging Science
PCN113,Radiation Physics
PCN211,Physics of Medical Imaging
PCN212,Radiotherapy
PCN214,Health and Occupational Physics
PCN218,Research Methodology and Professional Studies
PCN701,Topics in Advanced Chemistry 1
PCN801,Topics in Advanced Chemistry 2
PMN501,Project Management Essentials 1
PMN503,Systems in Project Management
PMN504,People and Projects
PMN601,Projects and Performance
PMN602,Organisations and Projects
PMN603,Project Investigation 1
PMN604,Strategy and Projects
PMN605,Strategic Project Procurement
PMN606,Project Investigation 2
PMN607,Strategic Risk Management
PMN608,Managing the Project
PQB360,Global Energy Balance and Climate Change
PUB100,"Medical Terminology, Anatomy and Physiology"
PUB104,Australian Health Care Systems
PUB204,Resourcing and Managing Health Budgets
PUB208,Understanding Health Information
PUB209,"Health, Culture and Society"
PUB215,Public Health Practice
PUB326,Introduction to Epidemiology
PUB332,Sustainable Environments for Health
PUB336,Women's Health
PUB359,Health Information Management
PUB380,Casemix and Activity Based Funding
PUB406,Health Promotion Practice
PUB416,Research Methods
PUB461,Qualitative Inquiry in Public Health
PUB490,Quality Management in Health
PUB514,Contract / Project Management
PUB530,Health Education and Behaviour Change
PUB545,"Health Policy, Planning and Advocacy"
PUB561,Statistical Methods in Health
PUB565,International Health
PUN015,Environmental Management and Sustainability
PUN016,Risk Assessment
PUN017,Health Planning and Evaluation
PUN103,Advanced Epidemiology
PUN105,Health Statistics 1
PUN106,Population Health
PUN210,Contemporary Health Management
PUN212,Health Information Management Perspectives
PUN213,Quality Management in Health
PUN214,Systems of Quality and Safety in Health
PUN219,Leadership of Quality and Safety in Health
PUN301,Occupational Health and Safety Law and Policy
PUN363,Environmental Health Law
PUN364,Food Safety
PUN450,Introduction to Disaster Risk Management
PUN452,Disaster Planning and Preparedness
PUN453,Disaster Response and Recovery
PUN454,Leadership in Disaster Management
PUN465,Environmental Protection
PUN466,Communicable Diseases
PUN500,Occupational Health and Safety Management
PUN617,"Health, Safety and Environment Leadership and Management"
PUN620,Concepts of Environmental Health
PUN632,Leadership in Health Management
PUN640,Health Systems
PUN688,Health Policy in a Global Context
PUN704,Health Management Internship
PUP032,Health Promotion 2: Theories
PUP034,Health Promotion 3: Program Planning
PUP037,Health Promotion 4: Program Evaluation
PUP038,Health Promotion 1: Paradigms
PUP250,Toxicology and Occupational Hygiene
PUP415,Occupational Health
PVB101,Physics of the Very Large
PVB102,Physics of the Very Small
PVB200,Computational and Mathematical Physics
PVB202,Mathematical Methods in Physics
PVB203,Experimental Physics
PVB204,Electromagnetism
PVB210,Stellar Astrophysics
PVB220,Cosmology
PVB301,Materials and Thermal Physics
PVB302,Classical and Quantum Physics
PVB303,Nuclear and Particle Physics
PVB304,Physics Research
PVB321,Introduction to Experimental Nanotechnology
PVB322,Advanced Nanotechnology
PYB007,Communication for Health Professionals
PYB067,Human Sexuality
PYB100,Foundation Psychology
PYB102,The Mind and the Brain
PYB110,Psychological Research Methods
PYB159,Alcohol and Other Drug Studies
PYB202,Social and Organisational Psychology
PYB203,Developmental Psychology
PYB204,Perception and Cognition
PYB208,Counselling Theory and Practice 1
PYB210,Research Design and Data Analysis
PYB215,Forensic Psychology and the Law
PYB257,Group Work
PYB260,Psychopharmacology of Addictive Behaviour
PYB301,Psychology in the Community: Placement
PYB302,Advanced Social and Organisational Psychology
PYB306,Psychopathology
PYB307,Health Psychology
PYB309,Individual Differences and Assessment
PYB321,Introduction to the Psychology of Trauma
PYB350,Advanced Statistical Analysis
PYB356,Counselling Theory and Practice 2
PYB358,Advanced Developmental Psychology
PYB359,Introduction to Family Therapy
PYB360,Interventions for Addictive Behaviours
PYB374,Human Factors and Safety
SEB104,Grand Challenges in Science
SEB113,Quantitative Methods in Science
SEB115,Experimental Science 1
SEB116,Experimental Science 2
SEB200,Communicating Science and Mathematics to Diverse Audiences
SWB100,Orientation to Social Work and Human Services
SWB102,Human Development and Behaviour
SWB105,Contemporary Human Rights
SWB108,"Australian Society, Systems and Policies"
SWB109,Working with Aboriginal and Torres Strait Islander Peoples and Communities
SWB110,Understanding Families and Relationships
SWB200,Working in Human Service Organisations
SWB204,Introduction to Child and Family Services
SWB207,Introduction to Youth Services
SWB211,Casework and Case Management
SWB212,Community and Place Based Practice
SWB219,Legal and Ethical Dimensions of Social Work and Human Service Practice
SWB220,Practice Theories
SWB221,Professional Practice Processes and Assessment
SWB222,Advanced Communication for Social Work and Human Services
SWB304,Child Protection and Family Practice
SWB306,"People, Community and Disability"
SWB307,Youth Services Practice
SWB312,Global Challenges and Practice
SWB405,Advanced Social Work Project
SWH200,Critically Reflexive Practice in Organisations
SWH311,Mental Health and Social Work
SWH400,Critical Social Policy and Advocacy
SWH401,Social Research for Social Change
SWH404,Complexity in Social Work and Human Services Practice
SWN002,Introduction to Social Work Practice and Contexts
SWN018,Theories and Frameworks for Social Work Practice
SWN019,Research for Social Change
SWN020,Practice Research Project
USB141,Building Big
USB240,Market Analysis
USB241,Money and Wealth
USB243,Property Legislation
USB244,Asset Performance
USB245,Property Investment Analysis
USB246,Transaction Process
USB300,Property Development
USB341,Money and Property
USB342,Property Software
USB343,Boutique Valuations
UXB100,Design-thinking for the Built Environment
UXB110,Residential Construction
UXB111,Imagine Construction Management
UXB112,Introduction to Structures
UXB113,Measurement for Construction
UXB114,Integrated Construction
UXB120,Introduction to Heavy Engineering Sector Technology
UXB121,Imagine Quantity Surveying and Cost Engineering
UXB130,History of the Built Environment
UXB131,Planning and Design Practice
UXB132,Urban Analysis
UXB133,Urban Studies
UXB134,Land Use Planning
UXB210,Commercial Construction
UXB211,Building Services
UXB212,Design for Structures
UXB213,Advanced Measurement for Construction
UXB220,Services and Heavy Engineering Measurement
UXB230,Site Planning
UXB231,Stakeholder Engagement
UXB233,Planning Law
UXB330,Urban Design
UXH300,Research Methods for the Future Built Environment
UXH310,High-rise Construction
UXH311,Contract Administration
UXH312,Construction Legislation
UXH314,Modern Construction Business
UXH321,Cost Planning and Controls
UXH331,Environmental Planning
UXH410,Strategic Construction Management
UXH411,Programming and Scheduling
UXH420,Risk Management in the Energy and Resources Sectors
UXH430,Planning Theory and Ethics
UXH431,Urban Planning Practice
UXH432,Community Planning
UXH433,Regional Planning
XNB151,Food and Nutrition
XNB176,Physical Activity and Health
XNB251,Nutrition Science
XNB252,Food and Nutrition Across the Lifecycle
XNB271,Motor Control
XNB272,Biomechanics
XNB273,Exercise Physiology
XNB274,Functional Anatomy
XNB277,Exercise and Sports Nutrition
XNB282,Resistance Training
XNB351,Medical Nutrition Therapy 1
XNB370,Performance Analysis
XNB371,Motor Control and Learning 2
XNB372,Biomechanics 2
XNB373,Exercise Physiology 2
XNB382,Principles of Exercise Prescription
XNB385,Principles of Exercise Programming
XNB390,Teaching Primary HPE
XNB396,Child and Adolescent Health
XNH355,Nutrition Assessment
XNH481,"Clinical Exercise for Cardiorespiratory, Renal and Metabolic Disorders"
XNH482,Clinical Exercise for Musculoskeletal and Neurological Disorders